"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like_View_Ratio","days_from_pub_to_trend"
816933,70414,1226,18892,2018,1,13,2018,1,14,"Film & Animation",0.0861931149800534,1
3231827,109287,6153,19235,2018,2,27,2018,3,1,"Film & Animation",0.0338158570987865,4
2718728,148313,2490,12075,2018,1,20,2018,1,22,"Film & Animation",0.0545523494810809,2
2187429,25499,372,1346,2018,2,14,2018,2,15,"Film & Animation",0.0116570640692795,1
4162905,225763,3404,12625,2018,5,19,2018,5,24,"Film & Animation",0.0542320807224763,5
829132,25110,316,3428,2017,11,14,2017,11,15,"Film & Animation",0.0302846832591192,1
694144,25001,402,2619,2018,2,22,2018,2,23,"Film & Animation",0.0360170224045731,1
592628,13430,371,242,2018,1,17,2018,1,20,"Film & Animation",0.0226617709591852,3
2134298,72270,6007,5374,2017,12,11,2017,12,16,"Film & Animation",0.0338612508656242,5
6309136,164513,31482,12792,2018,1,1,2018,1,3,"Film & Animation",0.0260753611905022,2
1332018,30829,3421,5743,2018,3,14,2018,3,17,"Film & Animation",0.0231445821302715,3
998131,78908,364,9352,2018,1,21,2018,1,22,"Film & Animation",0.0790557552064809,1
1644260,21602,3988,5843,2018,5,10,2018,5,11,"Film & Animation",0.0131378249182003,1
1385419,18482,4722,7307,2018,1,23,2018,1,25,"Film & Animation",0.0133403685094545,2
2626520,69894,4546,11647,2017,12,5,2017,12,7,"Film & Animation",0.0266108767494632,2
2580854,17711,901,1285,2018,5,4,2018,5,5,"Film & Animation",0.00686245715565468,1
1199360,10756,673,1410,2018,1,4,2018,1,5,"Film & Animation",0.00896811632870865,1
2338402,307354,6607,87691,2018,6,8,2018,6,10,"Film & Animation",0.131437622786843,2
1316058,45688,831,4690,2018,6,12,2018,6,14,"Film & Animation",0.0347157952005155,2
4365488,122200,7852,21128,2018,2,27,2018,3,4,"Film & Animation",0.027992288605535,7
684642,100292,408,9011,2018,2,10,2018,2,11,"Film & Animation",0.146488237648289,1
995733,31362,4297,5143,2018,5,1,2018,5,3,"Film & Animation",0.0314963951179684,2
1609388,57207,3015,4267,2018,1,22,2018,1,25,"Film & Animation",0.0355458099600593,3
819171,5932,790,1474,2018,4,5,2018,4,6,"Film & Animation",0.0072414672882707,1
551854,44065,114,3012,2018,4,30,2018,5,2,"Film & Animation",0.0798490180373795,2
2465294,99973,17299,16813,2018,5,2,2018,5,4,"Film & Animation",0.0405521613243694,2
889709,56041,396,10509,2018,3,21,2018,3,23,"Film & Animation",0.0629880106866402,2
617545,7017,523,611,2017,11,16,2017,11,18,"Film & Animation",0.0113627346994956,2
753987,22252,328,2659,2018,4,26,2018,4,27,"Film & Animation",0.0295124451747842,1
871845,20937,720,2041,2018,2,27,2018,3,1,"Film & Animation",0.0240145897493247,4
979668,23080,570,2851,2018,5,24,2018,5,27,"Film & Animation",0.0235590016209573,3
1373153,11713,1015,1529,2018,6,4,2018,6,6,"Film & Animation",0.00853000357571225,2
1391740,148064,1262,13731,2018,3,30,2018,3,31,"Film & Animation",0.106387687355397,1
821256,23628,569,2842,2018,6,11,2018,6,13,"Film & Animation",0.0287705660597913,2
529654,21310,117,718,2018,5,14,2018,5,16,"Film & Animation",0.0402338130175549,2
1948452,122040,2257,13768,2018,2,15,2018,2,15,"Film & Animation",0.062634337412469,0
8478721,226862,5039,22284,2018,4,13,2018,4,15,"Film & Animation",0.0267566299209515,2
763360,6632,315,560,2018,1,19,2018,1,20,"Film & Animation",0.00868790609935024,1
610469,7962,406,1092,2018,2,10,2018,2,13,"Film & Animation",0.0130424313110084,3
1674924,50503,924,4444,2018,4,3,2018,4,5,"Film & Animation",0.0301524128855996,2
2724896,63007,1903,6904,2018,1,16,2018,1,20,"Film & Animation",0.0231227173440748,4
1563060,39360,1096,4404,2017,12,19,2017,12,23,"Film & Animation",0.0251813749952017,4
1464745,38021,1057,4242,2017,12,19,2017,12,22,"Film & Animation",0.025957419209487,3
1485406,13878,710,1136,2018,1,19,2018,1,23,"Film & Animation",0.00934290019025102,4
11058730,360658,46013,21310,2018,3,1,2018,3,3,"Film & Animation",0.032612967311798,2
1070469,2732,105,229,2018,3,21,2018,3,22,"Film & Animation",0.00255215237433312,1
1071403,52140,968,1743,2018,2,26,2018,3,3,"Film & Animation",0.0486651614751872,7
652650,43248,585,3849,2017,12,5,2017,12,6,"Film & Animation",0.0662652263847391,1
679554,42681,1771,4692,2018,1,7,2018,1,8,"Film & Animation",0.0628073707166759,1
1064882,72886,901,20138,2018,2,12,2018,2,14,"Film & Animation",0.068445142278675,2
1113746,21002,1278,1544,2018,2,3,2018,2,4,"Film & Animation",0.0188570823149982,1
519181,19907,233,1602,2018,2,13,2018,2,14,"Film & Animation",0.0383430826628864,1
1542489,16552,698,1519,2018,5,16,2018,5,19,"Film & Animation",0.0107307086144537,3
595772,32870,503,6414,2018,3,15,2018,3,16,"Film & Animation",0.0551721128216835,1
10003191,114960,6844,9965,2017,11,19,2017,11,21,"Film & Animation",0.0114923327966046,2
926503,37811,1204,4466,2018,1,23,2018,1,24,"Film & Animation",0.0408104452980724,1
858145,27602,1033,3654,2017,12,14,2017,12,15,"Film & Animation",0.0321647274062076,1
2027554,53910,1522,5874,2018,1,16,2018,1,18,"Film & Animation",0.0265886876502426,2
1530796,45309,2876,5999,2018,4,24,2018,4,25,"Film & Animation",0.0295983266222279,1
1390914,50424,3139,11671,2018,3,27,2018,3,28,"Film & Animation",0.0362524210698864,1
1177597,45529,2587,19508,2018,1,27,2018,1,29,"Film & Animation",0.0386626324625487,2
562066,6198,197,1209,2018,5,14,2018,5,16,"Film & Animation",0.0110271747446029,2
5721665,47679,6866,11184,2017,12,8,2017,12,12,"Film & Animation",0.00833306388961954,4
13293647,334533,3302,8333,2018,5,10,2018,5,13,"Film & Animation",0.0251648776291412,3
1593715,65278,3273,20679,2017,12,7,2017,12,11,"Film & Animation",0.0409596446039599,4
2569382,71357,5254,16601,2018,3,27,2018,3,30,"Film & Animation",0.0277720479087967,3
1655936,35416,1991,5379,2018,2,6,2018,2,9,"Film & Animation",0.0213872999922702,3
1597958,17257,4313,1659,2018,3,21,2018,3,25,"Film & Animation",0.0107994077441334,4
4912005,179245,9572,24188,2017,12,30,2018,1,4,"Film & Animation",0.0364912087833787,9
1864342,159418,1643,61862,2018,1,21,2018,1,22,"Film & Animation",0.0855089892305167,1
1269933,44031,665,2039,2018,4,12,2018,4,15,"Film & Animation",0.0346719078880539,3
2593398,171090,2398,10330,2018,5,19,2018,5,21,"Film & Animation",0.0659713626678204,2
4613419,27999,2647,4464,2017,12,13,2017,12,17,"Film & Animation",0.00606903470072846,4
5147601,84056,6833,13653,2018,2,1,2018,2,6,"Film & Animation",0.0163291599329474,5
4526885,44350,3091,1522,2017,12,17,2017,12,20,"Film & Animation",0.00979702378125356,3
4121077,37680,3972,2995,2018,2,12,2018,2,14,"Film & Animation",0.00914324095376039,2
