"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like_View_Ratio","days_from_pub_to_trend"
3751723,31589,2391,2200,2017,12,1,2017,12,3,"Film & Animation",0.00841986468617219,2
3529469,68752,4366,4095,2018,4,9,2018,4,15,"Film & Animation",0.0194794174421138,6
905390,11582,484,1838,2018,5,2,2018,5,3,"Film & Animation",0.0127922773611372,1
7578398,36546,12925,3414,2018,2,19,2018,2,24,"Film & Animation",0.00482239122305268,5
1492185,2159,1602,355,2018,4,18,2018,4,23,"Film & Animation",0.00144687153402561,5
1646723,28701,1169,1655,2018,2,9,2018,2,12,"Film & Animation",0.0174291608242552,3
2839831,40243,1130,5006,2018,5,16,2018,5,20,"Film & Animation",0.014170913691695,4
1433961,40368,1417,1212,2018,2,3,2018,2,6,"Film & Animation",0.0281513932387282,3
782743,1385,820,174,2018,1,11,2018,1,13,"Film & Animation",0.00176941857033535,2
4215671,161058,2198,10289,2018,5,15,2018,5,16,"Film & Animation",0.0382045942389717,1
1749567,5790,1507,304,2018,6,6,2018,6,8,"Film & Animation",0.00330939026627731,2
4319289,24407,3724,1835,2018,3,9,2018,3,12,"Film & Animation",0.00565069852931814,3
528199,6387,748,689,2017,12,2,2017,12,6,"Film & Animation",0.0120920334949517,4
27696924,468469,60026,48740,2018,6,11,2018,6,14,"Film & Animation",0.0169141165278859,3
2076012,38784,4035,1719,2018,4,30,2018,5,5,"Film & Animation",0.0186819729365726,5
594470,16165,400,485,2017,12,25,2017,12,30,"Film & Animation",0.0271922889296348,5
3322496,23616,1119,1570,2018,1,29,2018,1,31,"Film & Animation",0.00710790923450322,2
696515,12397,449,385,2017,11,9,2017,11,14,"Film & Animation",0.0177986116594761,5
670876,1143,502,192,2018,1,19,2018,1,24,"Film & Animation",0.0017037425694167,5
11230887,232549,9214,43586,2018,2,28,2018,3,3,"Film & Animation",0.0207062006767587,5
6260004,152748,14022,10314,2018,4,28,2018,5,3,"Film & Animation",0.0244006233861831,5
3607529,33734,3097,2313,2018,1,29,2018,1,31,"Film & Animation",0.00935099898018838,2
2638490,33874,2328,3737,2018,3,2,2018,3,3,"Film & Animation",0.0128384037839825,1
786061,21054,6742,4916,2018,6,7,2018,6,8,"Film & Animation",0.0267841808714591,1
1908682,37184,1371,1294,2017,11,25,2017,12,1,"Film & Animation",0.0194815060863989,6
730877,29341,675,1329,2018,6,6,2018,6,8,"Film & Animation",0.0401449217857451,2
874007,1685,656,0,2017,12,20,2017,12,24,"Film & Animation",0.00192790217927316,4
2057452,40398,1569,1661,2018,3,13,2018,3,17,"Film & Animation",0.0196349659676143,4
2288613,73233,1938,9125,2018,3,6,2018,3,9,"Film & Animation",0.0319988569496022,3
2265059,58211,1501,2117,2018,3,7,2018,3,10,"Film & Animation",0.0256995513141159,3
1324761,2229,1530,0,2018,1,20,2018,1,24,"Film & Animation",0.00168256764805123,4
1414795,18847,694,658,2017,11,18,2017,11,20,"Film & Animation",0.0133213645793207,2
875234,94081,1769,6993,2018,3,26,2018,3,28,"Film & Animation",0.107492396319156,2
905588,11583,483,1838,2018,5,2,2018,5,3,"Film & Animation",0.0127905846808924,1
2777781,12302,1935,595,2018,5,23,2018,5,26,"Film & Animation",0.00442871486269076,3
1489122,134798,3043,9521,2018,3,26,2018,3,31,"Film & Animation",0.0905217974081372,5
1024037,13267,963,531,2018,5,11,2018,5,15,"Film & Animation",0.0129555865657198,4
800597,19606,510,1129,2018,5,13,2018,5,15,"Film & Animation",0.0244892249159065,2
9257830,201915,37614,15598,2018,1,1,2018,1,6,"Film & Animation",0.0218101866204067,5
1065850,85507,783,3548,2018,4,13,2018,4,16,"Film & Animation",0.0802242341792935,3
1138590,19308,915,711,2018,3,18,2018,3,22,"Film & Animation",0.01695781624641,4
3292160,17673,2268,1026,2018,5,28,2018,6,2,"Film & Animation",0.00536820810653188,4
27696924,468472,60025,48740,2018,6,11,2018,6,14,"Film & Animation",0.0169142248431631,3
2064872,73503,1404,2735,2018,5,17,2018,5,20,"Film & Animation",0.0355968796128767,3
2274252,121587,2520,3636,2018,6,13,2018,6,14,"Film & Animation",0.0534624131362751,1
2170231,61051,483,6075,2018,3,9,2018,3,10,"Film & Animation",0.0281311067807989,1
729856,19854,1814,4587,2017,12,9,2017,12,12,"Film & Animation",0.0272026262714837,3
1096327,33966,798,882,2017,11,12,2017,11,14,"Film & Animation",0.0309816323049601,2
636379,1465,453,121,2018,2,18,2018,2,19,"Film & Animation",0.00230208727817857,1
585472,1034,518,132,2018,1,23,2018,1,25,"Film & Animation",0.00176609641451683,2
16712248,200318,14347,41640,2018,6,5,2018,6,8,"Film & Animation",0.0119862989108347,3
1497271,58431,5414,4351,2017,11,23,2017,11,26,"Film & Animation",0.0390249994823916,3
1749567,5790,1507,304,2018,6,6,2018,6,8,"Film & Animation",0.00330939026627731,2
2314424,103805,8338,7536,2018,4,28,2018,4,29,"Film & Animation",0.0448513323401417,1
2970974,17703,1802,1512,2018,3,23,2018,3,27,"Film & Animation",0.00595865194377332,4
5335326,48723,3914,5596,2018,3,2,2018,3,4,"Film & Animation",0.00913215050026934,2
786061,21054,6742,4916,2018,6,7,2018,6,8,"Film & Animation",0.0267841808714591,1
1404577,35374,2355,1746,2017,12,15,2017,12,19,"Film & Animation",0.0251848065289407,4
14212729,159845,4852,11953,2018,5,16,2018,5,21,"Film & Animation",0.0112466085858669,5
2096711,49452,2641,4983,2017,11,28,2017,12,1,"Film & Animation",0.023585510831011,3
3283995,10595,2567,0,2018,3,12,2018,3,16,"Film & Animation",0.00322625338954536,4
1651358,41670,1409,1545,2017,11,12,2017,11,15,"Film & Animation",0.0252337772911749,3
945996,23804,8410,5689,2018,6,7,2018,6,9,"Film & Animation",0.0251628970947023,2
23739439,409788,14340,45434,2018,2,15,2018,2,19,"Film & Animation",0.0172619074949497,4
980830,8352,711,1011,2018,6,7,2018,6,8,"Film & Animation",0.00851523709511332,1
16712248,200316,14347,41640,2018,6,5,2018,6,8,"Film & Animation",0.0119861792381252,3
1603821,16054,787,2813,2018,5,2,2018,5,4,"Film & Animation",0.0100098452383402,2
1767675,35099,2779,2671,2018,5,7,2018,5,8,"Film & Animation",0.0198560255703113,1
1215146,5612,1078,597,2018,3,14,2018,3,16,"Film & Animation",0.0046183750759168,2
1888240,37018,3884,1646,2018,4,30,2018,5,4,"Film & Animation",0.0196044994280388,4
17485497,349781,5833,18151,2018,2,7,2018,2,12,"Film & Animation",0.0200040639393893,5
7102993,56323,5022,4175,2018,2,3,2018,2,7,"Film & Animation",0.00792947423712793,4
2052363,19319,1023,2676,2018,5,29,2018,6,2,"Film & Animation",0.0094130521744935,3
740666,67846,559,2796,2018,4,13,2018,4,15,"Film & Animation",0.0916013425754659,2
1273673,5684,130,28,2017,12,26,2017,12,30,"Film & Animation",0.00446268390709389,4
1106066,5324,635,442,2017,12,4,2017,12,7,"Film & Animation",0.00481345597821468,3
1135785,1387,775,161,2018,2,8,2018,2,12,"Film & Animation",0.00122118182578569,4
2515468,81751,1676,3017,2018,5,17,2018,5,21,"Film & Animation",0.0324993202060213,4
3098960,62485,2582,5730,2017,11,19,2017,11,20,"Film & Animation",0.0201632160466737,1
534831,8581,228,275,2018,1,29,2018,1,30,"Film & Animation",0.0160443205423769,1
11861050,308244,2825,24162,2018,4,19,2018,4,22,"Film & Animation",0.025987918438924,3
2523395,22995,1400,3719,2018,4,17,2018,4,22,"Film & Animation",0.00911272313688503,5
3117355,13465,2160,636,2018,5,23,2018,5,27,"Film & Animation",0.00431936689918216,4
1435453,8983,1124,339,2018,5,9,2018,5,11,"Film & Animation",0.00625795480590448,2
2828972,21936,3412,2646,2017,12,29,2017,12,31,"Film & Animation",0.00775405341586979,2
14212729,159845,4852,11953,2018,5,16,2018,5,21,"Film & Animation",0.0112466085858669,5
775707,1316,660,201,2017,12,19,2017,12,21,"Film & Animation",0.00169651685494652,2
1682551,60726,609,2542,2018,1,24,2018,1,25,"Film & Animation",0.0360916251572761,1
1027048,3354,822,0,2018,3,2,2018,3,4,"Film & Animation",0.00326567015368318,2
811893,1237,1723,0,2017,12,27,2017,12,31,"Film & Animation",0.00152359978470069,4
2461925,7560,1958,456,2018,6,6,2018,6,9,"Film & Animation",0.00307076779349493,3
1087225,25993,9814,6211,2018,6,7,2018,6,11,"Film & Animation",0.0239076548092621,4
1909215,51805,1238,1854,2018,3,7,2018,3,9,"Film & Animation",0.0271341886586896,2
1164716,7925,489,538,2018,5,30,2018,6,2,"Film & Animation",0.0068042338218072,2
546610,13933,305,300,2018,1,1,2018,1,5,"Film & Animation",0.0254898373611899,4
3546313,55654,4799,3977,2018,5,7,2018,5,10,"Film & Animation",0.0156934822166007,3
1522362,22829,3792,2007,2018,6,12,2018,6,14,"Film & Animation",0.0149957763002492,2
11058730,360655,46013,21310,2018,3,1,2018,3,3,"Film & Animation",0.0326126960329079,2
3139807,20523,2955,1626,2018,3,9,2018,3,11,"Film & Animation",0.00653638902008945,2
989061,2356,664,108,2018,6,1,2018,6,3,"Film & Animation",0.00238205732507904,2
549886,0,0,89,2018,2,7,2018,2,12,"Film & Animation",0,5
17741854,211522,15153,43359,2018,6,5,2018,6,9,"Film & Animation",0.0119222038463398,4
6810513,156057,14340,10417,2018,4,28,2018,5,4,"Film & Animation",0.0229141329001207,6
933402,12290,549,370,2018,1,2,2018,1,5,"Film & Animation",0.0131668884360651,3
742756,8138,272,447,2018,1,11,2018,1,14,"Film & Animation",0.0109564917684946,3
3607529,33734,3097,2313,2018,1,29,2018,1,31,"Film & Animation",0.00935099898018838,2
9052821,279714,5398,17652,2018,5,15,2018,5,18,"Film & Animation",0.0308979930123439,3
1474578,4108,1130,0,2018,3,2,2018,3,6,"Film & Animation",0.00278588179126503,4
624117,18171,1410,2649,2018,5,23,2018,5,24,"Film & Animation",0.0291147332951995,1
1584778,2576,1741,0,2018,1,20,2018,1,25,"Film & Animation",0.00162546426060937,5
9745925,55797,7675,1303,2018,2,12,2018,2,18,"Film & Animation",0.00572516205491013,6
8455800,204006,34789,13665,2018,5,28,2018,6,3,"Film & Animation",0.0241261619243596,5
13694999,254369,10642,46855,2018,2,28,2018,3,4,"Film & Animation",0.0185738604289055,6
6260004,152748,14022,10314,2018,4,28,2018,5,3,"Film & Animation",0.0244006233861831,5
2512046,61920,1662,2081,2018,3,7,2018,3,11,"Film & Animation",0.0246492301494479,4
2919347,344513,6816,29131,2018,4,21,2018,4,22,"Film & Animation",0.118010294767974,1
1065850,85507,783,3548,2018,4,13,2018,4,16,"Film & Animation",0.0802242341792935,3
1138318,40377,2319,5687,2018,4,21,2018,4,22,"Film & Animation",0.0354707559750439,1
2057452,40398,1569,1661,2018,3,13,2018,3,17,"Film & Animation",0.0196349659676143,4
504232,11300,1915,2000,2018,5,3,2018,5,4,"Film & Animation",0.0224103190594806,1
1716909,60719,2312,9547,2018,5,15,2018,5,16,"Film & Animation",0.0353652989179974,1
10003191,114957,6844,9965,2017,11,19,2017,11,21,"Film & Animation",0.0114920328923041,2
13811768,408529,52292,24225,2018,3,1,2018,3,4,"Film & Animation",0.0295783276985249,3
14478580,332272,6789,42047,2017,11,18,2017,11,21,"Film & Animation",0.0229492118702248,3
6057662,109167,2557,5522,2017,12,19,2017,12,20,"Film & Animation",0.0180213092113756,1
1707151,20807,836,1380,2017,11,18,2017,11,21,"Film & Animation",0.0121881427009093,3
1048201,12967,3028,1179,2018,3,21,2018,3,23,"Film & Animation",0.0123707189747005,2
2189462,60540,3677,2444,2017,12,29,2018,1,1,"Film & Animation",0.0276506283278723,7
774582,3616,1018,455,2018,3,7,2018,3,9,"Film & Animation",0.00466832433493161,2
3966516,26146,4441,3173,2017,12,29,2018,1,1,"Film & Animation",0.00659167894444394,7
2001492,71034,1237,3893,2018,1,24,2018,1,26,"Film & Animation",0.0354905240690445,2
5338061,41822,4234,2975,2018,1,29,2018,2,1,"Film & Animation",0.00783468004580689,2
5848764,33987,3828,822,2017,12,16,2017,12,20,"Film & Animation",0.00581097134368903,4
14800528,162079,4964,12016,2018,5,16,2018,5,22,"Film & Animation",0.0109508931032731,6
1161106,27544,834,942,2017,11,25,2017,11,27,"Film & Animation",0.0237222096862819,2
924609,5619,807,254,2018,5,18,2018,5,21,"Film & Animation",0.00607716342800038,3
1051624,22520,1767,1214,2018,1,11,2018,1,14,"Film & Animation",0.0214144979574449,3
10592828,204228,11980,37655,2018,6,4,2018,6,9,"Film & Animation",0.0192798372634768,5
1365422,55576,1923,2899,2018,3,4,2018,3,5,"Film & Animation",0.0407024348516429,1
570462,14536,828,537,2018,3,1,2018,3,4,"Film & Animation",0.0254811012828199,3
5071317,169343,24743,10602,2018,5,28,2018,5,30,"Film & Animation",0.0333923120956548,2
7194118,57731,4901,6746,2018,3,2,2018,3,5,"Film & Animation",0.00802475021955436,3
962782,0,0,0,2017,12,24,2017,12,26,"Film & Animation",0,2
13359243,287119,8201,26349,2018,4,13,2018,4,17,"Film & Animation",0.0214921608956436,4
945996,23804,8410,5689,2018,6,7,2018,6,9,"Film & Animation",0.0251628970947023,2
3231065,9014,2967,1449,2018,2,2,2018,2,7,"Film & Animation",0.00278979222021222,5
933927,33435,862,1490,2018,6,6,2018,6,9,"Film & Animation",0.0358004426470163,3
1726001,56553,1968,5195,2018,1,27,2018,2,1,"Film & Animation",0.0327653344349163,4
3670263,5474,2745,1143,2017,12,22,2017,12,26,"Film & Animation",0.00149144625330664,4
3196475,15636,663,798,2018,3,26,2018,3,30,"Film & Animation",0.00489163844547509,4
2164008,78285,1690,2428,2017,11,29,2017,12,4,"Film & Animation",0.0361759291093194,5
1024037,13267,963,531,2018,5,11,2018,5,15,"Film & Animation",0.0129555865657198,4
9001206,49951,4874,1174,2017,12,1,2017,12,7,"Film & Animation",0.00554936749586666,6
559903,16429,1861,1328,2018,6,6,2018,6,9,"Film & Animation",0.0293425825544782,3
556806,955,401,92,2017,12,14,2017,12,16,"Film & Animation",0.00171513956386964,2
9750403,206350,38549,15914,2018,1,1,2018,1,7,"Film & Animation",0.0211632278173528,6
3584153,27162,1494,1835,2018,5,4,2018,5,6,"Film & Animation",0.0075783595175764,2
567517,0,0,91,2018,2,7,2018,2,13,"Film & Animation",0,6
13531173,155469,4650,11616,2018,5,16,2018,5,20,"Film & Animation",0.0114896912484971,4
5214168,42060,1884,2337,2018,1,29,2018,2,3,"Film & Animation",0.00806648347348992,4
598365,8132,445,386,2018,1,16,2018,1,20,"Film & Animation",0.0135903670836362,4
880003,14642,453,2875,2018,4,24,2018,4,25,"Film & Animation",0.0166385796412058,1
7042061,44059,3966,2292,2017,12,1,2017,12,5,"Film & Animation",0.0062565490415377,4
37533416,853550,62858,102740,2017,11,7,2017,11,15,"Film & Animation",0.0227410689184273,8
608579,8275,566,820,2018,3,23,2018,3,24,"Film & Animation",0.0135972486727278,1
512535,2576,478,0,2018,3,10,2018,3,11,"Film & Animation",0.0050259982245115,1
2048343,76279,1626,2370,2017,11,29,2017,12,3,"Film & Animation",0.0372393686018406,4
9978294,129866,3645,9539,2018,5,16,2018,5,18,"Film & Animation",0.0130148500334827,2
2580854,17711,901,1285,2018,5,4,2018,5,5,"Film & Animation",0.00686245715565468,1
670717,12005,1340,1165,2018,1,7,2018,1,9,"Film & Animation",0.0178987561072703,2
1581988,20279,806,870,2018,1,29,2018,2,1,"Film & Animation",0.0128186813047887,2
