"views","likes","dislikes","comment_count","publish_year","publish_month","publish_day","trending_year","trending_month","trending_day","title","Like View Ratio","days_from_pub_to_trend"
2633079,69999,2377,10501,2018,2,20,2018,2,26,"Film & Animation",0.0265844663225068,6
1080795,23939,950,2282,2018,2,27,2018,3,12,"Film & Animation",0.0221494362945795,15
5186780,510,1774,665,2018,1,11,2018,1,17,"Film & Animation",9.83269003119469e-05,6
12887949,338755,6727,19502,2018,5,15,2018,6,1,"Film & Animation",0.0262846322560712,16
705015,37505,1413,16044,2018,1,27,2018,1,28,"Film & Animation",0.0531974496996518,1
945670,21927,832,2131,2018,2,27,2018,3,2,"Film & Animation",0.0231867353305064,5
1614392,36163,3066,6371,2017,11,28,2017,12,1,"Film & Animation",0.022400383549968,3
1351046,33595,496,4344,2017,11,14,2017,11,17,"Film & Animation",0.0248659187029901,3
4795716,30035,3246,3722,2018,6,7,2018,6,12,"Film & Animation",0.0062628812882164,5
2939179,227047,763,46298,2018,4,29,2018,5,8,"Film & Animation",0.0772484425072444,9
4616865,54831,1713,6304,2018,5,16,2018,6,1,"Film & Animation",0.0118762406957968,15
1609388,57206,3015,4267,2018,1,22,2018,1,25,"Film & Animation",0.0355451886058551,3
573915,11049,110,647,2017,12,19,2017,12,27,"Film & Animation",0.0192519798227961,8
3886748,44165,3070,4451,2018,1,16,2018,1,21,"Film & Animation",0.0113629697628969,5
1890330,30059,2301,6419,2018,2,26,2018,3,3,"Film & Animation",0.0159014563594716,7
1305238,16089,1084,1811,2018,3,27,2018,3,31,"Film & Animation",0.0123264875831074,4
3897625,49617,1480,6020,2018,5,16,2018,5,24,"Film & Animation",0.0127300599724191,8
6031076,163097,4162,18539,2018,5,25,2018,6,11,"Film & Animation",0.0270427698142089,16
2119558,32310,2471,6947,2018,2,26,2018,3,7,"Film & Animation",0.0152437442145957,11
16381551,171508,5428,12736,2018,5,16,2018,6,3,"Film & Animation",0.0104695825199946,17
1902792,58420,1280,6101,2018,5,29,2018,6,12,"Film & Animation",0.0307022522692969,13
5508250,249700,3839,13573,2018,5,19,2018,5,28,"Film & Animation",0.0453320019970045,9
1384063,39178,5429,5681,2018,5,1,2018,5,14,"Film & Animation",0.0283065149491027,13
1898712,83140,2717,8001,2018,5,8,2018,5,17,"Film & Animation",0.0437875781055789,9
1801705,60419,3161,4135,2018,1,22,2018,1,27,"Film & Animation",0.0335343466327728,5
518199,3521,129,475,2018,4,27,2018,5,5,"Film & Animation",0.006794686983186,8
714665,39031,837,2590,2018,1,19,2018,1,26,"Film & Animation",0.0546143997537308,7
628082,20364,772,3070,2017,12,7,2017,12,8,"Film & Animation",0.0324225180788496,1
3227166,86836,2473,9521,2018,3,6,2018,3,19,"Film & Animation",0.0269078194304229,13
2318176,65752,2188,10950,2018,2,20,2018,2,23,"Film & Animation",0.0283636790304101,3
1970562,52436,3629,9078,2017,12,12,2017,12,18,"Film & Animation",0.0266096676988595,6
1874914,69281,5714,5282,2017,12,11,2017,12,15,"Film & Animation",0.0369515615116213,4
527933,3624,134,494,2018,4,27,2018,5,6,"Film & Animation",0.0068645074280259,9
666445,5308,111,355,2018,3,9,2018,3,22,"Film & Animation",0.00796464824554164,13
4071774,99682,5147,15235,2018,5,15,2018,5,18,"Film & Animation",0.0244812212072674,3
12976087,218467,13457,39393,2018,6,4,2018,6,14,"Film & Animation",0.0168361232473241,10
3948004,207197,3223,38569,2018,4,8,2018,4,27,"Film & Animation",0.0524814564524251,19
697420,24772,171,754,2018,5,14,2018,5,25,"Film & Animation",0.0355194861059333,11
7050758,142636,13173,31735,2018,5,17,2018,5,24,"Film & Animation",0.0202298816666236,7
5243310,184755,9920,24824,2017,12,30,2018,1,5,"Film & Animation",0.0352363297230185,10
1225626,37541,1204,4898,2018,5,16,2018,5,24,"Film & Animation",0.0306300616990828,8
1680468,94121,2314,25215,2018,1,13,2018,1,17,"Film & Animation",0.0560088023098327,4
2373471,87058,9004,19505,2018,2,20,2018,2,25,"Film & Animation",0.0366796139493594,5
2185110,82469,8351,18565,2018,2,20,2018,2,23,"Film & Animation",0.0377413494057507,3
